platform,video_id,video_url,komentar,komentar_bersih,sentimen_auto
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,Mending tiktok tako daripada meta ai😹,mending tiktok tako daripada meta ai,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,udah hilang,udah hilang,negatif
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,"Buatkan saya 10 hook untuk
konten",buatkan saya hook untuk konten,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,manfaatnya apa?,manfaatnya apa,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,ngak ada banggg,ngak ada banggg,negatif
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,iy kak kok tako ku blom keluar y di tik tok ku,iy kak kok tako ku blom keluar y di tik tok ku,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,tapi jadi HP ku ngelag,tapi jadi hp ku ngelag,negatif
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,ka di akun aku juga ada tiktok tako aku gimna masih belum paham,ka di akun aku juga ada tiktok tako aku gimna masih belum paham,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,kata mama ku keren,kata mama ku keren,positif
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,itu harus didownload kah bang tiktok takonya?,itu harus didownload kah bang tiktok takonya,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,ada teman bicara 😂😂,ada teman bicara,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,komentar pertama,komentar pertama,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,bang punya aku engga k ada,bang punya aku engga k ada,negatif
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,baru tahu tik tok tako,baru tahu tik tok tako,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,aku belum mngerti,aku belum mngerti,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,punya q kok ilang sendiri pdhl udah ada sebelumnya,punya q kok ilang sendiri pdhl udah ada sebelumnya,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,belum muncul bang,belum muncul bang,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,ga da,ga da,netral
TikTok,7616653405053865237,https://www.tiktok.com/@robi.gadget/video/7616653405053865237,terimakasih🙏🙏,terimakasih,netral
